browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	8086	28464	67%	4m 15s
Safari	1066	2533	67%	1m 27s
Firefox	667	2246	51%	2m 06s
Microsoft Edge	574	1198	78%	53s
Mobile App	140	150	95%	11s
Opera	52	74	93%	16s
Yandex Browser	22	26	91%	21s
Smart Lenovo Browser	20	20	100%	-
Samsung Browser	16	28	81%	20s
QQ Browser	10	10	100%	-
(not set)	8	11	75%	27s
Quark	7	7	100%	-
Mobile Silk	3	3	100%	-
Sogou Explorer	3	5	67%	4s
MIUI Browser	2	2	100%	-
Opera Touch	2	2	100%	-
Whale Browser	1	1	100%	-
Phoenix Browser	1	1	100%	-
NFS Browser	1	1	100%	-
AVG Secure Browser	1	1	100%	-
Internet Explorer	1	1	100%	-
Avast Secure Browser	1	4	0%	1m 27s
Huawei Browser Mobile	1	4	0%	1m 52s
QtWebEngine	1	1	100%	-
115 Browser	1	1	100%	-
